town	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月
城镇11	1067.33	996.93	1003.92	1093.74	946.47	962.2	980.65	920.12	933.46	1001.72	967.87	952.13	917.94	914.96	971.71	1002.55	1054.67	972.56	1057.99	1071.9	969.86	1038.98	1080.47	1074.22	1021.26	933.31	937.21	975.68	925.27	1002.19	923.94	1044.28	1047.5	989.21	993.48	1020.93	965.22	1033.07	931.97	931.7	955.97	979.44	930.95	944.08	957.9	1074.54	1046.53	999.73	1021.67	914.67	951.58	979.9	1039.65	1011.86	1084.55	1085.49	1035.06	1006.82	943.25	917.6
城镇12	1694.87	1647.73	1628.54	1629.65	1582.4	1610.55	1552.98	1527.15	1704.8	1723.15	1567.19	1568	1609.67	1520.2	1736.48	1511.71	1632.9	1714.1	1578.59	1552.19	1539.41	1563.67	1684.53	1543.7	1722.63	1531.17	1624.51	1482.67	1607.56	1736.33	1514.22	1706.17	1619.67	1593.68	1602.95	1704.98	1485.3	1672.15	1506.03	1508.58	1553.07	1519.33	1461.75	1651.73	1599.92	1578.13	1560.98	1604.34	1484.43	1619.4	1626.04	1606.39	1579.94	1592.13	1504.93	1595.14	1573.17	1748.18	1519.87	1551.22
城镇13	821.11	840.35	798.24	799.88	869.26	863.04	802.91	884.49	808.79	813.04	835.11	903	903.3	838.02	848.55	847.12	793.6	888.79	857.4	888.8	816.53	818.35	874.7	909.04	850.16	803.49	891.14	859.4	843.93	788.61	866.82	880.18	894.51	903	853.03	824.22	889.92	790.27	807.28	918.89	856	813.66	840.25	837.69	808.88	873.95	818.08	883.44	822.72	895.92	902.24	837.43	871.34	809.71	814.51	869.29	858.94	863.47	809.86	805.46
城镇14	751.96	668.26	785.39	741.15	721.2	760.06	728.53	726.36	784.25	796.92	745.55	749.24	758.43	666.84	671.82	770.04	789.38	752.99	750.57	743.03	749.35	677.23	691.18	713.8	682.51	781.86	721.08	777.07	716.11	781.91	704.35	715.76	783.94	723.26	675.75	791.7	691.42	797.68	687.92	781.8	752.21	707.45	669.86	793.02	742.48	700.99	688.85	725.34	690.67	676.18	717	726.55	711.79	722.72	688.43	687.21	788.07	695.51	787.01	787.7
城镇15	383.65	386.79	391.29	355.23	352.63	386.84	394.8	340.13	389.14	393.92	381.09	382.97	366.07	373	369.16	383.8	388.59	382.58	386.41	392.17	354.49	369.18	342.71	367.3	341.12	374.9	376.96	366.14	333.47	332.59	360.12	347.57	384.76	372.3	392.58	376.45	350.05	393.2	365.05	364.46	383.11	357.25	394.49	339.49	368.06	366.38	347.78	387.79	363.21	352.03	346.67	337.49	366.26	393.27	333.1	378.69	348.96	332.76	361.02	393.65
城镇16	131.75	129.69	134.61	129.51	145.69	131.59	142.18	148.72	133.29	137.29	144.95	147.07	133.37	142.63	141.84	148.63	145.01	137.38	147.88	136.61	146.64	129.02	134.32	142.38	145.5	142.75	133.13	138.06	141.61	136.72	141.04	132.46	136.35	134.86	147.69	147.24	127.73	125.52	141.46	127.93	134.66	141.53	137.26	137.79	143.17	145.29	146.76	136.29	145.53	127.42	130.3	140.95	148.23	124.53	125.78	124.12	140.39	138.19	123.42	125.77
城镇17	127.29	125.37	128.95	129.26	118.33	132.98	129.97	133.74	130.56	123.8	128.51	129.26	126.57	116.08	118.72	121.16	128.9	125.36	113.23	113.3	115	132.11	117.37	132.36	129.94	128.85	114.09	121.63	130.04	124.36	132.51	112.58	120.99	114.89	128.62	131.96	133.96	119.01	112.76	112.78	115.05	117.6	113.31	133.74	128.76	122.65	124.55	128.54	112.96	112.63	128.98	119.82	115.73	117.63	125.61	130.3	126.09	121.09	125.34	113.35
城镇18	608.62	696.44	703.28	622.24	708.08	601.75	662.16	645.76	671.34	689.3	693.2	689.73	600.44	620.31	614.43	634.09	677.35	645.25	666.08	708.56	647.4	625.13	643.23	693.26	655.54	704.76	672.49	614.77	644.53	607.78	603.46	649.3	602.31	668.48	594.68	630.33	599.37	636.21	616.63	627.55	611.53	625.66	637.78	656.24	640.43	645.54	637.92	643.63	690.7	612.36	677.97	686.43	705.25	704.04	673.04	676.31	619.29	643.84	606.95	688.08
城镇19	183.37	164.74	176.22	185.77	164.95	190.36	185.63	176.32	184.69	170.88	172.56	181.76	164.03	176.17	176.88	175.48	189.94	166.1	165.56	165.14	170.58	174.52	178.05	187.72	161.77	184.88	173.7	162.07	163.33	165.81	166.9	166.84	174.32	160.21	182.03	186.57	164.75	190.1	169.61	159.77	176.03	169.52	167.03	161.29	161.75	175.38	177.82	182.97	175.27	176.72	167.98	183.86	173.13	186.29	180.77	175.96	159.81	181.65	189.26	166.7
城镇20	650.38	645.15	584.04	644.43	612.33	615.66	638.3	593.34	597.68	708.34	700.35	698.56	709.27	648.45	693.24	728.45	612.46	669.63	653.03	695.4	677.3	734.87	674.68	720.38	692.69	670.18	725.39	682.86	755.31	741.1	725.31	740.73	766.94	663.56	665.78	781.67	674.49	717.56	685.49	766.17	800.7	716.53	759.01	737.49	748.78	811.17	812.47	823.23	746.71	819.66	710.4	715.47	830.95	833.47	804.79	808.2	768.95	730.76	770.5	865.98
城镇21	662.44	597.27	603.73	607.64	668.52	682.53	695.31	653.38	707.74	669.17	634.73	697.7	677.39	656.11	599.97	707.57	592.92	709.86	638.36	691.21	687.53	694.5	693.62	701.44	692.98	696.89	593.81	618.16	615.86	705.66	637.76	701.04	681.01	637.97	705.47	653.45	608.57	639.22	695.42	628.64	675.36	663.79	671.79	634.74	648.19	658.15	633.98	652.31	704.37	620.45	674.94	661.8	654.19	625.83	672.74	667.98	626.99	672.73	697.3	700.06
城镇22	477.61	514.25	447.61	445.69	477.75	514.51	451.7	502.11	471	493.67	475.62	488.99	510.5	472.59	499.02	448.49	457.92	455.36	473.18	517.52	437.26	441.01	459.57	497.5	488.42	467.24	443.07	506.64	439.93	494.66	438.74	455.73	515.76	505.85	511.23	517.46	488.35	456.34	470.97	438.45	479.44	449.92	477.66	506.04	471.94	448.44	439.79	467.61	451.38	510.76	436.79	475.52	496.6	464.17	481.18	459.04	457.31	437.89	461.91	517.29
城镇23	607.78	687.92	680.22	682.82	662.82	672.2	629.75	651.73	617.57	581.34	628.21	632	671.54	629.33	604.12	631.68	676.12	650.09	680.37	662.31	620.09	651.39	585.13	670.93	584.06	671.09	687.6	644.57	599.94	640.82	615.87	594.69	597.49	684.08	664.91	664.23	634.17	595.15	649.8	666.09	659.38	683.51	650.38	630.84	595	626.92	669.68	678.86	681.9	679.14	654.21	659.25	663.24	606.37	633.73	687.08	622.08	611.6	668.44	598.93
城镇24	402.15	387.48	431.46	434.62	416.2	425.76	446.08	430.14	396.97	384.14	420.04	419.26	423.02	389.38	452.13	403.38	410.34	428.84	428.11	398.31	388.29	379.98	442.74	403.7	446.82	418.87	433.4	415.92	387.64	385.53	443.38	434.33	396.84	395.95	442.04	377.74	399.42	420.37	448.7	420	417.87	411.91	399.13	418.12	386.93	450.41	382.89	446.62	428.05	405.52	399.28	450.99	410.23	388.86	447.62	387.96	446.05	447.55	442.8	399.8
城镇25	418.47	397.98	445.66	432.64	433.84	436.8	442.57	413.55	454.77	386.84	448.17	429.59	458.25	403.53	423.8	384.47	402.21	382.02	392.2	422.79	430.32	410.8	376.7	432.63	395.23	382.32	393.56	376.68	369.26	401.76	421.46	380.1	363.45	362.39	360.17	403.05	371.11	412.77	376.97	396.24	355.38	393.11	419.38	352.72	355.5	391.62	368.01	358.64	363.69	365.73	391.15	345.59	373.93	344.05	368.28	384.21	384.03	351.65	369.66	397.28
城镇26	381.62	412.41	380.93	419.06	381.31	396.11	375.6	372.2	416.34	390.39	396.22	396.6	414.29	389.39	405	418.04	417.21	417.65	403.71	422.74	401.9	390.48	408.08	408.8	377.8	362.35	393.49	369.19	377.96	354.49	356.13	367.9	409.11	399.18	360.21	368.63	391.04	396.28	354.69	375.85	373.41	410.05	396.9	388.76	382.7	391.74	361.69	390.16	363.64	381.76	375.94	373.92	377.38	421.59	392.55	415.94	379.14	383.96	406.83	382.48
城镇27	1165.68	1275.67	1313.85	1238.15	1128.39	1116.14	1164.34	1157.16	1166.78	1131	1157.41	1189.91	1271.98	1219.76	1199.86	1126.11	1157.86	1104.64	1260.38	1156.84	1187.1	1232.98	1119.75	1101.42	1230.72	1108	1183.76	1183.15	1157.33	1093.56	1180.88	1083.8	1263.5	1249.09	1103.62	1073.62	1197.63	1186.52	1163.29	1102.56	1045.55	1164.12	1172.76	1158.85	1154.12	1168.35	1135.59	1049.52	1137.54	1083.25	1220.1	1037.88	1060.48	1180.02	1036.46	1084.06	1140.96	1047.84	1152.31	1103.22
城镇28	311.03	306.09	325.2	348.55	342.91	334.93	345.03	339.28	333.82	314.31	322.79	298.09	309.52	338.55	299.73	327.83	351.26	350.48	316.55	304.31	300.16	342.71	335	321.63	328.7	348.46	348.14	302.13	300.24	311.07	325.47	315.53	331.33	346.36	295.5	351.67	344.62	300.29	347.12	324.86	349.1	306.46	337.25	334.62	334.95	297.03	342.57	314.44	297.49	299.47	331.09	318.4	351.52	352.83	314.35	300.04	339.84	318.55	294.97	344.1
城镇29	145.67	145.25	142.03	135.68	154.1	131.51	146.47	152.55	132.54	141.32	148.9	141.75	146.67	139.33	150.85	155.84	157.22	132.16	155.49	142.02	148.4	153	145.22	131.76	157.77	152.62	150.13	148.5	145.38	140.86	150.28	156.53	152.07	154.39	157.72	155.3	145.6	156.08	154.91	146.56	145.59	145.36	150.09	131.66	131.82	150.99	142.41	148.36	142.2	157.73	142.61	134.05	145.91	140.76	139.21	151.34	140.76	134.09	140.08	151.98
城镇30	105.79	110.81	117.35	106.51	115.3	100.09	110.4	104.04	107.74	112.66	112.61	104.23	112.27	106.07	108.51	101.52	111.75	104.66	114.11	104.53	105.04	105.97	117.42	102.06	100.06	111.76	98.9	109.53	102.14	108.42	112.9	105.78	112.32	103.45	100.89	101.92	103.68	100.39	99.3	112.23	117.62	103.44	116.09	99.07	113.25	113.22	110.37	110.86	112.51	102.38	101.65	106.66	99.92	113.12	106.78	100.61	103.64	109.36	116.99	111.52
城镇31	4651.87	4314.45	4492.91	4281.95	4484.64	4850.16	4110.55	4264.05	4237.05	4287.83	4731.93	4333.75	4241.04	4196	4314.24	4350.94	4324.17	4286.88	4301.12	4371.34	4761.94	4632.96	4666.18	4254.93	4163.66	4307.99	4738.65	4443.34	4226.73	4516.55	4673.69	4644.79	4652.85	4671.95	4425.86	4241.76	4814.76	4867.32	4687.65	4593.18	4661.04	4444.02	4488.36	4345.85	4817.34	4438.88	4507.96	4066.54	4309.05	4506.78	4276.54	4566.04	4864.69	4781.75	4771.41	4673.68	4623.89	4612.98	4483.78	4408.25
城镇32	1144.77	1090.59	1078.28	1162.17	1227.46	1228.5	1062.13	1150.07	1243.62	1109.57	1219.7	1069.42	1120.31	1102.55	1108.68	1156.9	1133.91	1073.28	1241.6	1137.82	1246.99	1128.91	1123.89	1180.22	1104.19	1139.4	1123.2	1152.53	1166.59	1116.17	1259.22	1167.43	1180.42	1055.13	1242.89	1181.17	1140.57	1069.66	1110.92	1102.41	1091.84	1079.34	1186.45	1088.6	1081.37	1151.76	1063.55	1210.2	1150.58	1196.05	1112.34	1075.61	1201.81	1207.5	1118.49	1230.95	1143.04	1235.04	1215.43	1177.71
城镇33	1391.05	1526.38	1486.56	1510.67	1518.13	1431.05	1407.16	1471.95	1469.16	1552.38	1494.72	1404.42	1474.84	1429.3	1602.95	1614.56	1570.67	1577.88	1417.26	1510.39	1494.57	1576.46	1543.88	1511.67	1483.34	1454.81	1591.16	1404.3	1472.04	1468.7	1578.38	1531.69	1451.28	1463.49	1444.16	1475.08	1505.91	1507.45	1601.61	1537.42	1419.66	1614.27	1512.38	1596.76	1415.84	1469.94	1605.04	1520.69	1586.61	1450.67	1503.51	1502.6	1556.46	1518.23	1490.43	1383.2	1490.04	1516.77	1584.56	1355.19
城镇34	128.82	128.48	138.22	128.25	136.55	138.96	132.44	122.76	134.5	126.67	137.25	129.51	127.52	124.11	123.58	128.59	137.18	128.48	142.99	143.96	133.43	136.52	137.54	128.05	134.04	137.82	122.15	134.75	141.63	129.18	123.96	138.99	140.6	123.57	145.27	136.92	133.67	122.62	140.57	144.65	125.86	144.74	128.9	128.09	127.99	126.48	141.92	134.94	138.26	125.5	142.63	132.2	123.06	122.91	144.04	126.08	142.83	127.43	134.2	141.51
城镇35	1187.66	1062.59	1197.41	1144.73	1153.91	1095.13	1190.16	1035.59	1188.23	1139.72	1082.24	1109.66	1138.84	1108.38	1016.73	1065.55	1033.9	978.33	1031.81	1151.05	1012.74	1074.74	1137.92	999.39	984.74	1087.56	957.46	1082.78	1117.02	981.67	977.14	1076.46	1024.75	1126.08	1010.78	1092.38	1016	938.21	981.39	1013.45	1002.04	960.28	1072.93	1067.94	989.97	952.15	933.92	993.05	1080.86	1042.02	1082.46	904	994.44	982.49	1065.31	1006.87	1052.99	953.57	1062.31	992.05
城镇36	613.64	547.49	588.22	608.11	540.35	544.07	588.52	606.18	570.35	541.53	598.5	585.56	550.46	612.86	565.32	541.27	627.09	606.2	569.47	581.18	552.08	623.55	626.88	634.14	615.15	616.3	531.39	586.04	556.94	531.45	572.14	540.05	585.5	587.28	626.25	577.18	589.28	593.93	630.1	546.53	533.67	548.8	627.68	635.94	557.79	632.91	607.57	630.31	556.65	598.82	596.41	593.56	625.29	595.04	588.85	623.58	576.84	533.62	575.96	590.6
城镇37	221.13	227.59	249.93	240.14	215.4	248.38	217.75	222.22	236.32	212.67	245.23	247.27	249.75	224.83	228.29	242.55	241.21	242.02	233.1	242.87	245.33	231.76	230.01	228.44	239.96	241.57	243.87	249.02	229.36	250.95	233.96	224.72	215.5	231.89	213.28	234.17	250.93	249.74	214.23	227.72	237.87	243.95	246.15	242.17	245.35	241.73	233.78	235.17	215.12	224.01	250.76	231.45	223.43	233.19	224.43	237.08	234.63	227.16	221	215.76
城镇38	452.59	399.8	397.36	416.29	406.16	443.25	383.17	434.29	381.37	395.69	450.61	446.79	424.88	451.83	450.96	384.71	379.77	381.39	428.56	440.21	402.29	413.06	385.09	389.42	431.84	420.45	434.73	444.56	419.38	448.8	412.34	443.9	403.88	396.22	383.95	435.48	404.51	396.74	440.19	400.83	398.72	434.98	448.6	431.8	390.05	426.95	403.61	399.87	428.94	409.84	444.29	411.63	433.84	378.48	447.06	379.97	436.63	390.94	429.81	391.73
城镇39	243.09	254.38	252.38	259.58	249.54	261.15	281.18	297.23	308.88	295.92	316.33	289.14	301.53	308.36	314.48	319.61	351.73	348.62	308.4	317.93	336.71	318.64	327.12	347.58	368.92	368.74	333.31	354.77	361.41	351.74	378.55	401.8	378.7	407.94	406.07	367.92	417.81	371.33	393.34	363.46	376.07	394.79	426.69	435.08	395.05	433.43	372.57	392.73	434.36	435.71	416.4	391.54	416.54	447.53	420.63	447.47	419.58	390.84	428.38	413.75
城镇40	168.29	201.13	209.2	202.41	220.61	206.74	230.51	240.68	235.06	256.46	274	282.42	277.51	282.35	300.99	315.19	326.25	336.99	350.61	345.16	338.65	351.62	355.11	376.26	361.79	360.5	417.53	403.29	414.89	409.07	461.03	446.04	418.25	402.64	461.45	452.87	492.92	431.14	510.26	441.43	488.1	470.48	457.77	453.03	464.75	530.03	469.95	486.87	505.13	491.62	484.72	514.06	498.9	582.7	573.01	507.19	588.56	557.35	546.23	560.4
城镇41	261.69	237.91	271.32	251.18	296.16	281.08	308.31	287	336.28	313.07	352.24	321.37	326.15	345.91	364.52	345.02	343.74	390.95	406.17	404.46	410.66	406.17	435.89	387.73	392.02	398.17	411.52	451.95	472.93	428.08	500.61	514.07	499.71	450.55	505.85	526.52	527.3	548.47	556.77	492.52	543.41	571.85	504.91	533.8	574.75	563.66	591.99	603.48	549.41	580.39	532.82	607.06	621.59	631.14	641.62	577.28	561.84	580.53	641.98	617.78
城镇42	192.33	166.88	178.1	190.22	172.2	163.25	170.15	174.41	191.55	189.75	185.53	166.03	177	174.87	181.63	192.53	180.36	181.77	184.17	170.27	179.48	166.69	182.3	179.36	164.3	163.02	168.25	168.9	176.17	178.45	162.68	184.58	166.78	194.08	193.18	175.5	170.13	177.66	192.6	168.28	164.21	168.67	170.55	163.42	191.76	173.28	182.5	193.31	162.58	175.49	190.95	190.44	188.36	177.06	169.67	183.11	168.13	169	166.55	194.41
城镇43	166.44	173.21	168.77	151.43	163.16	166.49	152	165.76	179.14	157.8	173.43	167.98	154.29	170.94	171.42	157.95	168.67	180.46	157.62	173.33	179.56	152.36	162.63	173.52	179.4	156.01	161.6	168.75	160.3	177.21	167.81	180.69	158.03	176.82	163.55	161.84	168.28	161.98	171.03	160.73	155.12	177.68	154.3	174.87	168.89	178.66	176.04	151.04	170.95	157.21	177.63	160.2	153.97	153.7	161.89	154.61	166.8	169.07	168.67	158.32
城镇44	1121.71	1259.42	1178.62	1092.37	1065.33	1123.61	1126.11	1153.37	1172.13	1237.74	1103.41	1169.27	1165.84	1093.52	1094.69	1265.11	1238.51	1191.32	1173.91	1076.92	1186.8	1105.85	1170.23	1240.45	1232.18	1152.62	1088.03	1143.88	1198.7	1128.07	1089.02	1147.32	1096.73	1236.93	1113.96	1201.82	1126.54	1193.4	1148.85	1210.33	1162.89	1205.32	1153.95	1149.82	1170.03	1075.58	1058.55	1180.55	1214.86	1090.97	1099.14	1244.47	1170.7	1225.65	1154	1065.03	1172.07	1188.12	1179.52	1117.19
城镇45	182.94	182.53	168.78	166.25	176.8	180.51	163.61	191.82	193.39	187.08	174.87	187.85	191.21	193.88	185.37	174.58	178.51	188.93	193.68	192.59	197.22	202.62	196.57	211.24	184.53	209.16	194.42	194.6	197.48	206.54	202.11	185.12	209.8	203.7	197.64	224.86	189.84	196.57	212.02	225.35	200.17	197.93	203.93	204.81	213.3	219.74	201.92	232.5	221.72	217.57	229.02	222.69	234.57	209.06	215.72	246.22	233.26	220.8	235.29	253.71
城镇46	1393.59	1423.26	1562.72	1471.25	1610.92	1577.53	1645.85	1531.89	1490.94	1484.95	1432.84	1499.68	1457.95	1591.91	1487.11	1652.73	1512.2	1508.73	1439.04	1533.58	1510.6	1565.97	1517.25	1552.24	1648.67	1593.18	1398.8	1575.49	1384.9	1442.74	1577.24	1618.46	1445.11	1414.97	1600.99	1565.1	1589.54	1463.45	1524.31	1536.48	1598.65	1614.56	1573.46	1395.35	1456.28	1471.73	1436.65	1588.86	1578.77	1500.11	1412.1	1571.46	1647.06	1467.37	1596.81	1402.6	1557.96	1629.29	1398.56	1490.2
城镇47	69.3	71.99	83.17	86.17	79	91.94	93.63	90.51	93.97	98.43	98.95	97.7	96.29	91.5	93.2	99.51	109.35	102.74	105.27	110.91	105.1	114.72	104.95	122.33	114.63	113.48	121.79	124.68	118.92	124.15	128.18	136.14	121.16	129.86	132.28	140.95	144.11	123.11	129.53	131.83	142.72	151.86	149.35	145.43	139.24	142.41	148.09	142.99	145.21	135.49	154.76	162.62	165.54	145.48	164.26	160.38	144.01	143.57	167.96	171.2
城镇48	167.66	152.5	168.44	158.79	148.41	169.99	161.46	170.87	149.96	171.91	164.63	148.08	150.08	157.97	160.96	168.68	152.71	160.38	151.9	169.38	170.31	161.98	173.19	156.8	170.8	146.32	154.07	155.89	148.17	149.41	149.33	172.1	167.26	169.54	165.73	166.01	172.88	163.83	150.34	170.09	165.26	153.55	166.02	168.54	152.74	151.84	152.91	165.91	169.73	148.82	165.74	149.77	165.84	146.36	171.36	152.15	161.13	168.5	171.47	170.57
城镇49	1486.12	1398.38	1556.32	1512.12	1589.62	1632.63	1615.64	1475.24	1465.77	1446.02	1388.27	1631.49	1584.64	1459.95	1574.03	1411.98	1645.79	1464.77	1466.68	1522.1	1623.17	1653.59	1443.5	1659.04	1570.5	1462.96	1639.75	1391.68	1409.24	1428.97	1528.26	1537.44	1657.61	1490.99	1472.93	1425.77	1426.12	1482.37	1580.06	1445.29	1421.25	1589.74	1639.37	1658.57	1542.12	1560.65	1537.79	1632.14	1388.97	1482.43	1423.51	1502.93	1560.35	1383.79	1523.81	1489.81	1506.9	1418.11	1452.56	1521.21
城镇50	1375	1607.77	1471.85	1517.92	1599	1632.82	1413.8	1637.74	1599.87	1539.91	1464.04	1580.14	1610.3	1498.98	1504.05	1383.22	1609.46	1501.53	1510.98	1584.95	1609.6	1401.8	1519.23	1646.89	1568.03	1569.81	1560.12	1539.22	1494.24	1413.28	1470.68	1431.41	1430.05	1565.19	1422.89	1503.09	1602.54	1608.25	1622.89	1581.5	1394.16	1625.4	1569.99	1559.16	1521.24	1645.3	1407.58	1618.48	1380.29	1494.62	1376.89	1562.4	1552.2	1523.35	1565.99	1436.27	1415.49	1416.17	1521.18	1395.1
城镇51	59.99	67.68	70.72	68.13	75.82	84.89	82.83	85.56	93.12	95.7	105.98	98.19	110.63	112.94	104.08	110.63	108.19	129.29	113.19	122.61	135.96	121.47	129.12	142.41	142.54	155.19	151.25	153.61	154.91	155.47	147.42	148.52	146.79	165.81	164.25	169.99	180.96	182.52	186.39	171.89	164.05	185.73	194.99	171.85	187.25	201.36	192.37	202.37	174.35	177.84	202.35	206.69	188.75	185.96	184.93	217.88	184.78	216.94	220.87	199.42
城镇52	546.58	541.26	573.73	547.22	541.09	565.24	505.77	538.91	548.07	581.81	535.83	600.88	542.03	505.05	548.7	566.02	513.3	527.14	591.93	544.56	526.49	565.3	568.75	596.02	570.47	555.04	517.14	518.95	514.17	598.53	576.42	561.02	567.38	527.72	597.67	563.69	558.71	518.44	602.12	516.27	525.98	569.44	517.03	527.56	513.72	595.04	590.72	587.4	556.17	579.33	534.89	580.34	598.53	573.95	551.58	556.71	511.72	515.99	520.7	579.82
城镇53	1551.9	1326.18	1526.07	1395.25	1559.41	1446.61	1418.42	1509.67	1554.24	1501.27	1491.38	1449.4	1348.86	1507.3	1370.01	1546.79	1468.31	1507.9	1522.07	1470.3	1477.64	1432.44	1418.02	1376.01	1532.93	1498.52	1450.81	1491.66	1326.42	1541.83	1478.92	1580.11	1578.83	1510.81	1533.66	1462.81	1573.5	1508.92	1517.87	1377.71	1440.53	1588.57	1422.35	1412.29	1558.8	1550.27	1485.44	1446.77	1379.11	1571.91	1330.02	1374.24	1587.86	1535.77	1380.94	1549.84	1573.21	1354.03	1365.76	1469.64
